mode,step,rss_bytes,items_in_table,elapsed_ms,disk_bytes
memory,db_created,5058560,0,0,0
memory,table_created,5427200,0,1,0
memory,loaded_1k,10252288,1000,47,0
memory,loaded_10k,47898624,10000,540,0
memory,after_queries,47898624,10000,553,0
memory,after_scan,47898624,10000,606,0
memory,after_updates,47898624,10000,649,0
memory,after_deletes,47898624,5000,827,0
memory,final,47898624,5000,827,0
file,db_created,47792128,0,4,82216
file,table_created,47792128,0,5,123416
file,loaded_1k,44204032,1000,498,5275200
file,loaded_10k,43999232,10000,4433,16399984
file,after_queries,43999232,10000,4447,16399984
file,after_scan,43999232,10000,4500,16399984
file,after_updates,43999232,10000,4838,16498288
file,after_deletes,43999232,5000,6902,16502384
file,final,43999232,5000,6903,16502384
docker_idle,dynamodb_local,168401305,0,0,0
