mode,step,rss_bytes,items_in_table,elapsed_ms,disk_bytes
memory,db_created,5115904,0,0,0
memory,table_created,5419008,0,1,0
memory,loaded_1k,10252288,1000,60,0
memory,loaded_10k,47890432,10000,481,0
memory,after_queries,47890432,10000,494,0
memory,after_scan,47890432,10000,554,0
memory,after_updates,47890432,10000,597,0
memory,after_deletes,47890432,5000,779,0
memory,final,47890432,5000,779,0
file,db_created,45105152,0,4,82216
file,table_created,45105152,0,6,123416
file,loaded_1k,45105152,1000,475,5275200
file,loaded_10k,45105152,10000,3902,16399984
file,after_queries,45105152,10000,3915,16399984
file,after_scan,45105152,10000,3968,16399984
file,after_updates,45105152,10000,4280,16498288
file,after_deletes,45105152,5000,6139,16502384
file,final,45105152,5000,6139,16502384
docker_idle,dynamodb_local,194126370,0,0,0
docker_idle,localstack,391223705,0,0,0
